"filename", "language", "Dart", "comment", "blank", "total"
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\basewidget\remove_address_bottom_sheet.dart", "Dart", 47, 0, 9, 56
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\basewidget\remove_from_wishlist_bottom_sheet.dart", "Dart", 49, 0, 9, 58
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\basewidget\remove_wish_list_bottom_sheet.dart", "Dart", 46, 0, 9, 55
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\basewidget\search_widget.dart", "Dart", 92, 0, 17, 109
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\basewidget\select_currency_bottom_sheet.dart", "Dart", 83, 0, 13, 96
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\basewidget\select_language_bottom_sheet.dart", "Dart", 85, 0, 10, 95
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\basewidget\show_custom_snakbar.dart", "Dart", 13, 0, 2, 15
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\basewidget\success_dialog.dart", "Dart", 47, 0, 6, 53
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\basewidget\title_row.dart", "Dart", 151, 0, 23, 174
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\basewidget\transaction_filter_bottom_sheet.dart", "Dart", 53, 0, 3, 56
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\data\datasource\remote\dio\dio_client.dart", "Dart", 145, 0, 15, 160
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\data\datasource\remote\dio\logging_interceptor.dart", "Dart", 45, 0, 9, 54
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\data\datasource\remote\exception\api_error_handler.dart", "Dart", 80, 2, 3, 85
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\data\model\api_response.dart", "Dart", 12, 0, 5, 17
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\data\model\error_response.dart", "Dart", 21, 0, 8, 29
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\data\model\response_model.dart", "Dart", 7, 0, 2, 9
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\di_container.dart", "Dart", 138, 4, 6, 148
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\features\address\controllers\address_controller.dart", "Dart", 207, 0, 36, 243
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\features\address\domain\model\address_model.dart", "Dart", 73, 0, 4, 77
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\features\address\domain\model\restricted_zip_model.dart", "Dart", 15, 0, 3, 18
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\features\address\domain\repo\address_repository.dart", "Dart", 113, 0, 20, 133
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\features\address\domain\repo\contracts\address_repository_interface.dart", "Dart", 2, 0, 1, 3
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\features\address\domain\service\address_service.dart", "Dart", 2, 0, 1, 3
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\features\address\views\add_new_address_screen.dart", "Dart", 420, 0, 50, 470
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\features\address\views\address_list_screen.dart", "Dart", 87, 0, 7, 94
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\features\address\views\saved_address_list_screen.dart", "Dart", 61, 0, 7, 68
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\features\address\views\saved_billing_address_list_screen.dart", "Dart", 59, 0, 7, 66
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\features\address\widgets\address_type_widget.dart", "Dart", 18, 0, 2, 20
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\features\address\widgets\country_search_dialog.dart", "Dart", 49, 0, 7, 56
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\features\address\widgets\zip_search_dialog.dart", "Dart", 45, 0, 7, 52
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\features\auth\controllers\auth_controller.dart", "Dart", 371, 1, 72, 444
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\features\auth\controllers\facebook_login_controller.dart", "Dart", 13, 0, 5, 18
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\features\auth\controllers\google_login_controller.dart", "Dart", 12, 0, 3, 15
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\features\auth\domain\models\login_model.dart", "Dart", 18, 0, 4, 22
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\features\auth\domain\models\register_model.dart", "Dart", 33, 0, 4, 37
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\features\auth\domain\models\social_login_model.dart", "Dart", 21, 0, 5, 26
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\features\auth\domain\repositories\auth_repository.dart", "Dart", 281, 6, 52, 339
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\features\auth\domain\repositories\contracts\auth_repository_interface.dart", "Dart", 32, 0, 30, 62
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\features\auth\views\auth_screen.dart", "Dart", 89, 0, 12, 101
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\features\auth\views\forget_password_screen.dart", "Dart", 139, 0, 25, 164
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\features\auth\widgets\code_picker_widget.dart", "Dart", 255, 22, 43, 320
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\features\auth\widgets\mobile_verify_screen.dart", "Dart", 106, 0, 20, 126
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\features\auth\widgets\otp_verification_screen.dart", "Dart", 203, 0, 35, 238
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\features\auth\widgets\reset_password_widget.dart", "Dart", 77, 1, 17, 95
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\features\auth\widgets\sign_in_widget.dart", "Dart", 181, 0, 33, 214
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\features\auth\widgets\sign_up_widget.dart", "Dart", 241, 0, 41, 282
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\features\auth\widgets\social_login_widget.dart", "Dart", 158, 0, 20, 178
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\features\banner\controllers\banner_controller.dart", "Dart", 113, 0, 20, 133
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\features\banner\domain\models\banner_model.dart", "Dart", 49, 0, 5, 54
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\features\banner\domain\repositories\banner_repository.dart", "Dart", 38, 5, 10, 53
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\features\banner\domain\repositories\contracts\banner_repository_interface.dart", "Dart", 3, 0, 2, 5
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\features\banner\widgets\banner_shimmer.dart", "Dart", 17, 0, 3, 20
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\features\banner\widgets\banners_view.dart", "Dart", 65, 0, 14, 79
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\features\banner\widgets\fashion_theme_banner.dart", "Dart", 81, 0, 14, 95
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\features\banner\widgets\single_banner.dart", "Dart", 39, 0, 8, 47
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\features\brand\controllers\brand_controller.dart", "Dart", 71, 0, 15, 86
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\features\brand\domain\models\brand_model.dart", "Dart", 46, 0, 10, 56
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\features\brand\domain\repositories\brand_repository.dart", "Dart", 24, 0, 5, 29
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\features\brand\domain\repositories\contracts\brand_repo_interface.dart", "Dart", 3, 0, 2, 5
"g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib\features\brand\views\all_brand_screen.dart", "Dart", 51, 0, 5, 56
